,Round ID,Total Win/Loss,Game Provider Round ID,Jackpot Contribution,Win/Loss
167,ugs-2213087267,40.0,,,
168,ugs-2213087198,-5.0,,,
169,ugs-2213087189,-1.0,,,
170,ugs-2213087202,-5.0,,,
171,ugs-2213087138,-1.0,,,
172,ugs-2213087095,-5.0,,,
173,ugs-2213087043,-1.0,,,
174,ugs-2213087055,-1.0,,,
175,ugs-2213087053,-5.0,,,
176,ugs-2213087056,-1.0,,,
177,ugs-2213086982,-5.0,,,
178,ugs-2213086969,-1.0,,,
179,ugs-2213086878,-5.0,,,
180,ugs-2213086890,-20.0,,,
181,ugs-2213086931,-1.0,,,
182,ugs-2213086889,1.0,,,
183,ugs-2213086842,-1.0,,,
184,ugs-2213086861,-1.0,,,
185,ugs-2213086813,-1.0,,,
186,ugs-2213086704,-5.0,,,
187,ugs-2213086674,-1.0,,,
188,ugs-2213086683,-20.0,,,
189,ugs-2213086647,-5.0,,,
190,ugs-2213086568,-1.0,,,
191,ugs-2213086522,-1.0,,,
192,ugs-2213086542,-5.0,,,
193,ugs-2213086484,-1.0,,,
194,ugs-2213086507,-20.0,,,
195,ugs-2213086393,-5.0,,,
196,ugs-2213086385,-1.0,,,
197,ugs-2213086282,-1.0,,,
198,ugs-2213086237,-1.0,,,
199,ugs-2213086220,-5.0,,,
200,ugs-2213086183,-1.0,,,
201,ugs-2213086088,59.0,,,
202,ugs-2213086107,44.0,,,
203,ugs-2213086083,-1.0,,,
204,ugs-2213086070,-5.0,,,
205,ugs-2213086097,-10.0,,,
206,ugs-2213086090,-1.0,,,
207,ugs-2213086104,95.0,,,
208,ugs-2213085983,-5.0,,,
209,ugs-2213085974,-1.0,,,
210,ugs-2213085969,-1.0,,,
211,ugs-2213085894,6.0,,,
212,ugs-2213085922,-5.0,,,
213,ugs-2213085874,-5.0,,,
214,ugs-2213085854,-1.0,,,
215,ugs-2213085822,-10.0,,,
216,ugs-2213085774,-1.0,,,
217,ugs-2213085742,-1.0,,,
218,ugs-2213085762,-5.0,,,
219,ugs-2213085755,0.0,,,
220,ugs-2213085772,-5.0,,,
221,ugs-2213085719,-20.0,,,
222,ugs-2213085639,-1.0,,,
223,ugs-2213085624,-1.0,,,
224,ugs-2213085611,-5.0,,,
225,ugs-2213085595,-10.0,,,
226,ugs-2213085628,-1.0,,,
227,ugs-2213085510,-1.0,,,
228,ugs-2213085531,-1.0,,,
229,ugs-2213085454,-5.0,,,
230,ugs-2213085446,-20.0,,,
231,ugs-2213085396,-1.0,,,
232,ugs-2213085321,-5.0,,,
233,ugs-2213085277,-1.0,,,
234,ugs-2213085174,3.0,,,
235,ugs-2213085165,-10.0,,,
236,ugs-2213085157,-1.0,,,
237,ugs-2213085073,-1.0,,,
238,ugs-2213085102,-20.0,,,
239,ugs-2213085078,-1.0,,,
240,ugs-2213085033,65.0,,,
241,ugs-2213084974,-1.0,,,
242,ugs-2213084968,-1.0,,,
243,ugs-2213084963,-1.0,,,
244,ugs-2213084911,-5.0,,,
245,ugs-2213084910,-20.0,,,
246,ugs-2213084884,-1.0,,,
247,ugs-2213084861,-1.0,,,
248,ugs-2213084760,-1.0,,,
249,ugs-2213084780,-1.0,,,
250,ugs-2213084750,-5.0,,,
251,ugs-2213084756,0.8,,,
252,ugs-2213084706,10.0,,,
253,ugs-2213084675,-1.0,,,
254,ugs-2213084668,-1.0,,,
255,ugs-2213084625,-1.0,,,
256,ugs-2213084640,-5.0,,,
257,ugs-2213084580,-1.0,,,
258,ugs-2213084486,-5.0,,,
259,ugs-2213084531,20.0,,,
260,ugs-2213084535,-1.0,,,
261,ugs-2213084481,-1.0,,,
262,ugs-2213084429,-1.0,,,
263,ugs-2213084366,-1.0,,,
264,ugs-2213084358,-20.0,,,
265,ugs-2213084368,-1.0,,,
266,ugs-2213084352,120.0,,,
267,ugs-2213084304,-1.0,,,
268,ugs-2213084248,201.0,,,
269,ugs-2213084218,6.0,,,
270,ugs-2213084196,-1.0,,,
271,ugs-2213084223,-5.0,,,
272,ugs-2213084188,0.0,,,
273,ugs-2213084174,-20.0,,,
274,ugs-2213084122,-1.0,,,
275,ugs-2213084099,-1.0,,,
276,ugs-2213084075,-1.0,,,
277,ugs-2213084013,-20.0,,,
278,ugs-2213083996,-1.0,,,
279,ugs-2213083977,-1.0,,,
280,ugs-2213083983,-5.0,,,
281,ugs-2213083963,-10.0,,,
282,ugs-2213083921,10.0,,,
283,ugs-2213083858,-1.0,,,
284,ugs-2213083868,-20.0,,,
285,ugs-2213083870,-1.0,,,
286,ugs-2213083788,-5.0,,,
287,ugs-2213083816,10.5,,,
288,ugs-2213083824,-10.0,,,
289,ugs-2213083818,-10.0,,,
290,ugs-2213083815,-5.0,,,
291,ugs-2213083762,-1.0,,,
292,ugs-2213083748,-1.0,,,
293,ugs-2213083648,-1.0,,,
294,ugs-2213083665,-10.0,,,
295,ugs-2213083672,-5.0,,,
296,ugs-2213083668,-5.0,,,
297,ugs-2213083595,-1.0,,,
298,ugs-2213083551,-5.0,,,
299,ugs-2213083520,-1.0,,,
300,ugs-2213083491,-10.0,,,
301,ugs-2213083495,-20.0,,,
302,ugs-2213083429,-5.0,,,
303,ugs-2213083415,-1.0,,,
304,ugs-2213083396,3.8,,,
305,ugs-2213083383,-8.0,,,
306,ugs-2213083356,1.0,,,
307,ugs-2213083341,-20.0,,,
308,ugs-2213083307,-1.0,,,
309,ugs-2213083331,-10.0,,,
310,ugs-2213083282,-5.0,,,
311,ugs-2213083301,-5.0,,,
312,ugs-2213083264,-1.0,,,
313,ugs-2213083244,-1.0,,,
314,ugs-2213083154,-1.0,,,
315,ugs-2213083203,-1.0,,,
316,ugs-2213083182,-10.0,,,
317,ugs-2213083122,-5.0,,,
318,ugs-2213083132,-20.0,,,
319,ugs-2213083066,-1.0,,,
320,ugs-2213083109,-1.0,,,
321,ugs-2213083067,-1.0,,,
322,ugs-2213083036,-10.0,,,
323,ugs-2213082978,-1.0,,,
324,ugs-2213082969,-20.0,,,
325,ugs-2213082995,-1.0,,,
326,ugs-2213082982,-5.0,,,
327,ugs-2213082949,-1.0,,,
328,ugs-2213082894,-8.0,,,
329,ugs-2213082854,-1.0,,,
330,ugs-2213082883,-1.0,,,
331,ugs-2213082859,-5.0,,,
332,ugs-2213082761,-10.0,,,
333,ugs-2213082786,-1.0,,,
334,ugs-2213082668,-1.0,,,
335,ugs-2213082660,45.0,,,
336,ugs-2213082632,-1.0,,,
337,ugs-2213082639,-10.0,,,
338,ugs-2213082576,-5.0,,,
339,ugs-2213082542,-1.0,,,
340,ugs-2213082535,-1.0,,,
341,ugs-2213082485,5.0,,,
342,ugs-2213082497,-9.0,,,
343,ugs-2213082446,-5.0,,,
344,ugs-2213082449,-1.0,,,
345,ugs-2213082365,-1.0,,,
346,ugs-2213082345,-1.0,,,
347,ugs-2213082344,-1.0,,,
348,ugs-2213082336,24.5,,,
349,ugs-2213082325,-7.0,,,
350,ugs-2213082338,-5.0,,,
351,ugs-2213082231,-1.0,,,
352,ugs-2213082207,-1.0,,,
353,ugs-2213082178,5.0,,,
354,ugs-2213082183,-5.0,,,
355,ugs-2213082176,34.0,,,
356,ugs-2213082136,-1.0,,,
357,ugs-2213082086,-1.0,,,
358,ugs-2213082030,-8.0,,,
359,ugs-2213082035,-1.0,,,
360,ugs-2213081963,-1.0,,,
361,ugs-2213081932,-1.0,,,
362,ugs-2213081890,-10.0,,,
363,ugs-2213081865,-1.0,,,
364,ugs-2213081837,-1.0,,,
365,ugs-2213081765,-1.0,,,
366,ugs-2213081788,10.0,,,
367,ugs-2213081751,-10.0,,,
368,ugs-2213081747,-1.0,,,
369,ugs-2213081686,-1.0,,,
370,ugs-2213081639,-1.0,,,
371,ugs-2213081598,-1.0,,,
372,ugs-2213081615,-10.0,,,
373,ugs-2213081565,2.8,,,
374,ugs-2213081528,21.0,,,
375,ugs-2213081516,-1.0,,,
376,ugs-2213081485,-1.0,,,
377,ugs-2213081476,-10.0,,,
378,ugs-2213081423,-1.0,,,
379,ugs-2213081389,-1.0,,,
380,ugs-2213081388,-1.0,,,
381,ugs-2213081355,15.0,,,
382,ugs-2213081331,-1.0,,,
383,ugs-2213081291,248.1,,,
384,ugs-2213081272,-1.0,,,
385,ugs-2213081242,-5.0,,,
386,ugs-2213081206,-1.0,,,
387,ugs-2213081171,-1.0,,,
388,ugs-2213081105,-1.0,,,
389,ugs-2213081100,-1.0,,,
390,ugs-2213081096,-5.0,,,
391,ugs-2213081067,-1.0,,,
392,ugs-2213081012,-1.0,,,
393,ugs-2213081013,18.0,,,
394,ugs-2213080997,0.2,,,
395,ugs-2213081005,-5.0,,,
396,ugs-2213080933,-1.0,,,
397,ugs-2213080962,-1.0,,,
398,ugs-2213080924,-1.0,,,
399,ugs-2213080909,-20.0,,,
400,ugs-2213080901,-5.0,,,
401,ugs-2213080864,-1.0,,,
402,ugs-2213080852,-1.0,,,
403,ugs-2213080820,-1.0,,,
404,ugs-2213080786,-5.0,,,
405,ugs-2213080728,-1.0,,,
406,ugs-2213080710,-1.0,,,
407,ugs-2213080660,-5.0,,,
408,ugs-2213080641,-1.0,,,
409,ugs-2213080558,-5.0,,,
410,ugs-2213080565,-1.0,,,
411,ugs-2213080563,-4.0,,,
412,ugs-2213080581,0.4,,,
413,ugs-2213080543,27.0,,,
414,ugs-2213080510,-1.0,,,
415,ugs-2213080459,-5.0,,,
416,ugs-2213080429,-1.0,,,
417,ugs-2213080433,-5.0,,,
418,ugs-2213080419,-5.0,,,
419,ugs-2213080401,-1.0,,,
420,ugs-2213080357,-5.0,,,
421,ugs-2213080336,-1.0,,,
422,ugs-2213080343,-1.0,,,
423,ugs-2213080268,-5.0,,,
424,ugs-2213080288,-5.0,,,
425,ugs-2213080234,-1.0,,,
426,ugs-2213080198,12.0,,,
427,ugs-2213080171,-5.0,,,
428,ugs-2213080123,-1.0,,,
429,ugs-2213080157,-5.0,,,
430,ugs-2213080165,-1.0,,,
431,ugs-2213080102,-1.0,,,
432,ugs-2213080093,-10.0,,,
433,ugs-2213080073,-5.0,,,
434,ugs-2213080004,-1.0,,,
435,ugs-2213080008,1780.0,,,
436,ugs-2213080009,-1.0,,,
437,ugs-2213080013,-2.5,,,
438,ugs-2213080017,-5.0,,,
